subjects,particle_size,flowrate,parameter,deposition
PD03,30,18,16200,0.99957431
PD03,30,45,40500,0.999619915
PD02,30,18,16200,1
PD02,30,45,40500,1.0000000201
PD08,30,18,16200,1.0000000138
PD08,30,45,40500,1
PD20,30,18,16200,0.999999961
PD20,30,45,40500,0.9999999954
PD21,30,18,16200,0.9999999539
PD21,30,45,40500,1
PD09,30,18,16200,1.000000031
PD09,30,45,40500,1
PD19,30,18,16200,1.0000000379
PD19,30,45,40500,1.00000003
PD10,30,18,16200,0.999999997
PD10,30,45,40500,0.999999999
PD13,30,18,16200,1.000000033
PD13,30,45,40500,0.9999999827
